"","Item_Weight","Item_Fat_ContentLow Fat","Item_Fat_ContentRegular","Item_Visibility","Item_TypeBaking Goods","Item_TypeBreads","Item_TypeBreakfast","Item_TypeCanned","Item_TypeDairy","Item_TypeFrozen Foods","Item_TypeFruits and Vegetables","Item_TypeHard Drinks","Item_TypeHealth and Hygiene","Item_TypeHousehold","Item_TypeMeat","Item_TypeOthers","Item_TypeSeafood","Item_TypeSnack Foods","Item_TypeSoft Drinks","Item_TypeStarchy Foods","Item_MRP","Outlet_Establishment_Year1985","Outlet_Establishment_Year1987","Outlet_Establishment_Year1997","Outlet_Establishment_Year1998","Outlet_Establishment_Year1999","Outlet_Establishment_Year2002","Outlet_Establishment_Year2004","Outlet_Establishment_Year2007","Outlet_Establishment_Year2009","Outlet_SizeOther","Outlet_SizeHigh","Outlet_SizeMedium","Outlet_SizeSmall","Outlet_Location_TypeTi","Outlet_Location_TypeTier 1","Outlet_Location_TypeTier 2","Outlet_Location_TypeTier 3","Outlet_TypeOther","Outlet_TypeGrocery Store","Outlet_TypeSupermarket Type1","Outlet_TypeSupermarket Type2","Outlet_TypeSupermarket Type3"
"36",10,1,0,0.089291137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,146.7102,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"37",12.6,0,1,0.059511812,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,128.0678,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"38",8.85,0,1,0.113123893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,122.5388,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"39",12.6,0,1,0.123111453,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36.9874,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"40",12.6,1,0,0.026480954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87.6198,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"41",13.35,1,0,0.102511504,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230.6352,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"42",9.8,1,0,0.02681843,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,126.002,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"43",13.6,1,0,0.117818348,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,192.9136,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"44",21.35,1,0,0.069102831,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,259.9278,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"45",12.15,0,1,0.042277867,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126.5046,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"46",6.42,1,0,0.089498926,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,178.1002,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"47",19.6,1,0,0.054238448,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,153.3024,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"48",10,1,0,0.025879577,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,265.2226,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"49",15.85,0,1,0.121632721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.622,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"50",12.6,0,1,0.255394896,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196.8794,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"51",7.39,1,0,0.067779712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143.8812,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"52",10.195,1,0,0.159803853,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,141.5154,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"53",9.895,0,1,0.028696932,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117.0492,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"54",10.895,1,0,0.065041581,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,196.3794,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"55",12.15,1,0,0.028760013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,151.4708,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"56",7.905,1,0,0.010053105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,249.0408,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"57",9.195,1,0,0.048157338,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,106.1622,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"58",8.365,1,0,0.071958197,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38.0506,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"59",15.1,1,0,0.173481304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,194.511,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"60",12.6,1,0,0.061082177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,180.0344,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"61",10,1,0,0.054238448,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,246.9144,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"62",7.97,0,1,0.040071131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.3514,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"63",12.6,1,0,0.012090074,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38.2848,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"64",12.6,0,1,0.15028599,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.0692,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"65",12.6,1,0,0.026015519,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,255.8356,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"66",17.7,1,0,0.195068226,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,185.4266,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"67",19.35,1,0,0.033082215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,172.5738,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"68",13.65,0,1,0.078946455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,186.024,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"69",17.6,1,0,0.041700756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,164.8526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"70",8.645,1,0,0.143422643,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95.841,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"71",15.6,0,1,0.105296072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,170.1764,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"72",15.85,0,1,0.121531501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.222,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"73",18.25,1,0,0.054238448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.7526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"74",7.855,1,0,0.011324862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,189.6188,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"75",7.825,1,0,0.186357148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,254.3698,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"76",8.39,0,1,0.024205661,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114.0176,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"77",12.85,1,0,0.033230816,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,172.3422,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"78",12.6,1,0,0.113720344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9804,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"79",19,1,0,0.112556507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104.9622,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"80",5.905,1,0,0.054238448,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,222.5456,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"81",7.76,1,0,0.059352241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,101.87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"82",11.8,0,1,0.014087057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,180.3344,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"83",16.75,1,0,0.045230944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,187.9556,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"84",12.6,1,0,0.293417759,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,194.6136,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"85",12.6,0,1,0.031382044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.3764,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"86",15.5,0,1,0.12639886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,177.0028,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"87",6.055,1,0,0.025403898,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160.992,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"88",12.6,0,1,0.039057677,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,155.963,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"89",6.305,0,1,0.123115764,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,95.6436,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"90",20.85,1,0,0.039624006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,117.2808,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"91",20.75,1,0,0.040421193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,122.173,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"92",8.895,1,0,0.105274111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39.9138,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"93",19.6,1,0,0.033970195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55.1614,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"94",19.7,1,0,0.053212652,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.893,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"95",9.8,1,0,0.024378706,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,114.5492,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"96",12.6,1,0,0.009714595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120.0414,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"97",12.15,1,0,0.131383762,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,246.046,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"98",8.75,0,1,0.07461309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187.4556,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"99",12.6,1,0,0.028459761,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,149.9708,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"100",8.75,0,1,0.074627201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187.8556,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"101",13.3,1,0,0.063695084,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,151.0708,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"102",12.6,0,1,0.045797829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,178.5344,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"103",8.31,0,1,0.115857223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,179.1028,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"104",16.75,0,1,0.024832806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38.7822,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"105",19.75,1,0,0.034027909,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212.0902,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"106",17.1,0,1,0.0467696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,141.1838,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"107",10.5,0,1,0.116576702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.121,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"108",6.635,0,1,0.054238448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.3098,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"109",12.6,1,0,0.278974075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,225.372,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"110",14.15,1,0,0.035913805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41.4138,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"111",13.3,1,0,0.079806266,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,232.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"112",8.89,1,0,0.005505481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102.4016,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"113",12.6,0,1,0.064625342,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,176.937,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"114",12.6,1,0,0.071636937,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,121.7098,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"115",9.1,0,1,0.054238448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2054,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"116",7.5,1,0,0.032677678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,239.0906,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"117",16.85,0,1,0.160760054,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,192.4478,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"118",7.485,1,0,0.06911065,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109.0228,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"119",11.6,1,0,0.041177505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140.3154,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"120",11.65,1,0,0.040081193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,227.0694,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"121",13,1,0,0.035307322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.5034,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"122",12.65,1,0,0.063017847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,159.0578,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"123",20.25,0,1,0.171938781,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.512,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"124",8.6,0,1,0.040197932,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,190.153,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"125",12.6,1,0,0.049058014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7194,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"126",17.7,1,0,0.01161096,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95.041,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"127",14.15,1,0,0.183507295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82.4276,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"128",19.25,1,0,0.102349519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52.7956,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"129",8.88,1,0,0.086708987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,151.7682,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"130",20.5,1,0,0.032835147,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40.2822,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"131",12.6,1,0,0.033809913,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,180.5976,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
