"","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Year"
"61",10,"Low Fat",0.0540205365,"Fruits and Vegetables",246.9144,"Medium","Tier 3","Supermarket Type2",3185.1872,4
"62",7.97,"Regular",0.040071131,"Meat",87.3514,"Other","Tier 2","Supermarket Type1",1062.6168,11
"63",12.6,"Low Fat",0.012090074,"Fruits and Vegetables",38.2848,"Medium","Tier 3","Supermarket Type3",484.7024,28
"64",12.6,"Regular",0.15028599,"Frozen Foods",51.0692,"Small","Tier 1","Grocery Store",147.8076,28
"65",12.6,"Low Fat",0.026015519,"Snack Foods",255.8356,"Medium","Tier 3","Supermarket Type3",2543.356,28
"66",17.7,"Low Fat",0.195068226,"Snack Foods",185.4266,"Other","Tier 3","Grocery Store",184.4266,15
"67",19.35,"Low Fat",0.033082215,"Meat",172.5738,"Small","Tier 2","Supermarket Type1",4865.6664,9
"68",13.65,"Regular",0.078946455,"Dairy",186.024,"Other","Tier 2","Supermarket Type1",1118.544,11
"69",17.6,"Low Fat",0.041700756,"Soft Drinks",164.8526,"Other","Tier 2","Supermarket Type1",2302.3364,11
"70",8.645,"Low Fat",0.143422643,"Health and Hygiene",95.841,"Small","Tier 1","Supermarket Type1",2027.361,16
"71",15.6,"Regular",0.105296072,"Snack Foods",170.1764,"Small","Tier 1","Supermarket Type1",3435.528,16
"72",15.85,"Regular",0.121531501,"Baking Goods",59.222,"High","Tier 3","Supermarket Type1",599.22,26
"73",18.25,"Low Fat",0.0540205365,"Starchy Foods",164.7526,"Other","Tier 2","Supermarket Type1",4604.6728,11
"74",7.855,"Low Fat",0.011324862,"Canned",189.6188,"Other","Tier 2","Supermarket Type1",2285.0256,6
"75",7.825,"Low Fat",0.186357148,"Household",254.3698,"Medium","Tier 1","Supermarket Type1",5580.7356,14
"76",8.39,"Regular",0.024205661,"Frozen Foods",114.0176,"Small","Tier 1","Supermarket Type1",2290.352,16
"77",12.85,"Low Fat",0.033230816,"Snack Foods",172.3422,"Medium","Tier 1","Supermarket Type1",1207.0954,14
"78",12.6,"Low Fat",0.113720344,"Baking Goods",89.9804,"Small","Tier 1","Grocery Store",643.1628,28
"79",19,"Low Fat",0.112556507,"Frozen Foods",104.9622,"Other","Tier 2","Supermarket Type1",1587.933,6
"80",5.905,"Low Fat",0.0540205365,"Canned",222.5456,"Other","Tier 2","Supermarket Type1",5305.0944,11
"81",7.76,"Low Fat",0.059352241,"Snack Foods",101.87,"Small","Tier 1","Supermarket Type1",1697.79,16
"82",11.8,"Regular",0.014087057,"Frozen Foods",180.3344,"Small","Tier 1","Supermarket Type1",1427.4752,16
"83",16.75,"Low Fat",0.045230944,"Snack Foods",187.9556,"Medium","Tier 3","Supermarket Type2",4693.89,4
"84",12.6,"Low Fat",0.293417759,"Household",194.6136,"Small","Tier 1","Grocery Store",583.2408,28
"85",12.6,"Regular",0.031382044,"Baking Goods",171.3764,"Medium","Tier 3","Supermarket Type3",3091.9752,28
"86",15.5,"Regular",0.12639886,"Fruits and Vegetables",177.0028,"Other","Tier 2","Supermarket Type1",2479.4392,6
"87",6.055,"Low Fat",0.025403898,"Fruits and Vegetables",160.992,"Small","Tier 2","Supermarket Type1",2716.464,9
"88",12.6,"Regular",0.039057677,"Breakfast",155.963,"Medium","Tier 3","Supermarket Type3",3285.723,28
"89",6.305,"Regular",0.123115764,"Snack Foods",95.6436,"Small","Tier 1","Supermarket Type1",661.8052,16
"90",20.85,"Low Fat",0.039624006,"Meat",117.2808,"Medium","Tier 1","Supermarket Type1",1523.3504,14
"91",20.75,"Low Fat",0.040421193,"Fruits and Vegetables",122.173,"Other","Tier 3","Grocery Store",369.519,15
"92",8.895,"Low Fat",0.105274111,"Dairy",39.9138,"Medium","Tier 1","Supermarket Type1",690.4346,14
"93",19.6,"Low Fat",0.033970195,"Soft Drinks",55.1614,"Other","Tier 2","Supermarket Type1",1381.535,11
"94",19.7,"Low Fat",0.053212652,"Fruits and Vegetables",57.893,"Small","Tier 2","Supermarket Type1",622.523,9
"95",9.8,"Low Fat",0.024378706,"Health and Hygiene",114.5492,"Small","Tier 2","Supermarket Type1",1274.3412,9
"96",12.6,"Low Fat",0.009714595,"Frozen Foods",120.0414,"Small","Tier 1","Grocery Store",487.3656,28
"97",12.15,"Low Fat",0.131383762,"Frozen Foods",246.046,"Medium","Tier 1","Supermarket Type1",1231.73,14
"98",8.75,"Regular",0.07461309,"Fruits and Vegetables",187.4556,"Small","Tier 2","Supermarket Type1",3755.112,9
"99",12.6,"Low Fat",0.028459761,"Household",149.9708,"Medium","Tier 3","Supermarket Type3",4363.6532,28
"100",8.75,"Regular",0.074627201,"Fruits and Vegetables",187.8556,"Small","Tier 1","Supermarket Type1",1314.2892,16
"101",13.3,"Low Fat",0.063695084,"Frozen Foods",151.0708,"Other","Tier 2","Supermarket Type1",1805.6496,11
"102",12.6,"Regular",0.045797829,"Snack Foods",178.5344,"Medium","Tier 3","Supermarket Type3",2854.9504,28
"103",8.31,"Regular",0.115857223,"Snack Foods",179.1028,"Medium","Tier 1","Supermarket Type1",3896.2616,14
"104",16.75,"Regular",0.024832806,"Soft Drinks",38.7822,"High","Tier 3","Supermarket Type1",667.7974,26
"105",19.75,"Low Fat",0.034027909,"Snack Foods",212.0902,"Medium","Tier 3","Supermarket Type2",3185.853,4
"106",17.1,"Regular",0.0467696,"Canned",141.1838,"High","Tier 3","Supermarket Type1",2247.7408,26
"107",10.5,"Regular",0.116576702,"Baking Goods",163.121,"High","Tier 3","Supermarket Type1",1794.331,26
"108",6.635,"Regular",0.0540205365,"Baking Goods",121.3098,"Other","Tier 2","Supermarket Type1",2530.7058,11
"109",12.6,"Low Fat",0.278974075,"Soft Drinks",225.372,"Small","Tier 1","Grocery Store",679.116,28
"110",14.15,"Low Fat",0.035913805,"Soft Drinks",41.4138,"High","Tier 3","Supermarket Type1",812.276,26
"111",13.3,"Low Fat",0.079806266,"Dairy",232.53,"Small","Tier 1","Supermarket Type1",699.09,16
"112",8.89,"Low Fat",0.005505481,"Frozen Foods",102.4016,"Other","Tier 2","Supermarket Type1",2732.4432,6
"113",12.6,"Regular",0.064625342,"Meat",176.937,"Small","Tier 1","Grocery Store",176.437,28
"114",12.6,"Low Fat",0.071636937,"Snack Foods",121.7098,"Medium","Tier 3","Supermarket Type3",4097.3332,28
"115",9.1,"Regular",0.0540205365,"Breads",173.2054,"Other","Tier 2","Supermarket Type1",3151.8972,11
"116",7.5,"Low Fat",0.032677678,"Frozen Foods",239.0906,"Medium","Tier 1","Supermarket Type1",5942.265,14
"117",16.85,"Regular",0.160760054,"Frozen Foods",192.4478,"Other","Tier 2","Supermarket Type1",4843.695,6
"118",7.485,"Low Fat",0.06911065,"Snack Foods",109.0228,"Small","Tier 2","Supermarket Type1",2542.0244,9
"119",11.6,"Low Fat",0.041177505,"Soft Drinks",140.3154,"Other","Tier 2","Supermarket Type1",2552.6772,6
"120",11.65,"Low Fat",0.040081193,"Snack Foods",227.0694,"Medium","Tier 3","Supermarket Type2",1141.847,4
"121",13,"Low Fat",0.035307322,"Household",47.5034,"Other","Tier 2","Supermarket Type1",680.4476,6
"122",12.65,"Low Fat",0.063017847,"Soft Drinks",159.0578,"Other","Tier 2","Supermarket Type1",2085.9514,11
"123",20.25,"Regular",0.171938781,"Canned",92.512,"Other","Tier 3","Grocery Store",186.424,15
"124",8.6,"Regular",0.040197932,"Canned",190.153,"Small","Tier 2","Supermarket Type1",3036.048,9
"125",12.6,"Low Fat",0.049058014,"Breads",62.7194,"Other","Tier 2","Supermarket Type1",866.8716,6
"126",17.7,"Low Fat",0.01161096,"Frozen Foods",95.041,"Small","Tier 2","Supermarket Type1",868.869,9
"127",14.15,"Low Fat",0.183507295,"Soft Drinks",82.4276,"Small","Tier 1","Supermarket Type1",1137.1864,16
"128",19.25,"Low Fat",0.102349519,"Dairy",52.7956,"Other","Tier 2","Supermarket Type1",928.1252,6
"129",8.88,"Low Fat",0.086708987,"Hard Drinks",151.7682,"High","Tier 3","Supermarket Type1",762.341,26
"130",20.5,"Low Fat",0.032835147,"Household",40.2822,"Other","Tier 2","Supermarket Type1",707.0796,11
"131",12.6,"Low Fat",0.033809913,"Canned",180.5976,"Medium","Tier 3","Supermarket Type3",7968.2944,28
"132",13.5,"Low Fat",0.07266912,"Household",160.292,"Small","Tier 1","Supermarket Type1",1438.128,16
"133",12.6,"Low Fat",0.144338493,"Health and Hygiene",224.4404,"Medium","Tier 3","Supermarket Type3",6976.2524,28
"134",8.89,"Low Fat",0.009163216,"Frozen Foods",101.7016,"Other","Tier 3","Grocery Store",101.2016,15
"135",7.855,"Low Fat",0.011307038,"Canned",188.5188,"Medium","Tier 3","Supermarket Type2",952.094,4
"136",7.235,"Low Fat",0.076855628,"Household",116.0492,"Small","Tier 1","Supermarket Type1",1969.4364,16
"137",12.6,"Low Fat",0.059956876,"Starchy Foods",165.4526,"Medium","Tier 3","Supermarket Type3",5262.4832,28
"138",6.92,"Low Fat",0.038532062,"Dairy",60.5852,"Other","Tier 2","Supermarket Type1",1314.2892,11
"139",9.3,"Low Fat",0.043209581,"Fruits and Vegetables",90.8172,"Other","Tier 2","Supermarket Type1",535.3032,6
"140",18.5,"Low Fat",0.056816465,"Others",132.1284,"Other","Tier 3","Grocery Store",263.6568,15
"141",8.02,"Low Fat",0.019866705,"Household",154.5972,"Small","Tier 2","Supermarket Type1",1402.1748,9
"142",9.195,"Low Fat",0.048331717,"Household",105.1622,"Other","Tier 2","Supermarket Type1",1693.7952,6
"143",12.8,"Low Fat",0.091221855,"Others",105.5938,"Other","Tier 2","Supermarket Type1",2143.876,11
"144",16.6,"Low Fat",0.027622076,"Household",177.6344,"Medium","Tier 1","Supermarket Type1",2676.516,14
"145",14,"Regular",0.0540205365,"Frozen Foods",53.064,"Small","Tier 2","Supermarket Type1",905.488,9
"146",18.6,"Low Fat",0.039355947,"Frozen Foods",246.3802,"Medium","Tier 1","Supermarket Type1",7370.406,14
"147",16,"Low Fat",0.060836524,"Starchy Foods",226.8404,"Small","Tier 2","Supermarket Type1",6301.1312,9
"148",17.6,"Low Fat",0.082316506,"Health and Hygiene",160.692,"Small","Tier 2","Supermarket Type1",1597.92,9
"149",21.25,"Low Fat",0.155350299,"Snack Foods",178.237,"Small","Tier 2","Supermarket Type1",529.311,9
"150",7.235,"Low Fat",0.076841095,"Household",117.5492,"Small","Tier 2","Supermarket Type1",1969.4364,9
"151",14.6,"Low Fat",0.151419185,"Soft Drinks",50.3692,"Other","Tier 2","Supermarket Type1",1034.6532,6
"152",13.85,"Regular",0.026001976,"Frozen Foods",161.521,"Medium","Tier 3","Supermarket Type2",1794.331,4
"153",13.65,"Regular",0.073209447,"Frozen Foods",197.6426,"Medium","Tier 3","Supermarket Type2",2768.3964,4
"154",12.6,"Low Fat",0.041683481,"Soft Drinks",31.29,"Medium","Tier 3","Supermarket Type3",898.83,28
"155",7.365,"Low Fat",0.042560252,"Fruits and Vegetables",226.172,"Small","Tier 1","Supermarket Type1",3169.208,16
"156",18.35,"Low Fat",0.014081156,"Household",223.5746,"Medium","Tier 3","Supermarket Type2",3589.9936,4
"157",5.465,"Regular",0.0540205365,"Baking Goods",132.5626,"Medium","Tier 3","Supermarket Type2",262.3252,4
"158",18.6,"Low Fat",0.152918384,"Breakfast",99.8358,"Other","Tier 2","Supermarket Type1",1910.1802,6
"159",13.85,"Low Fat",0.030969274,"Soft Drinks",140.9154,"Other","Tier 2","Supermarket Type1",1701.7848,6
"160",14,"Regular",0.060376776,"Frozen Foods",154.5656,"High","Tier 3","Supermarket Type1",2471.4496,26
"161",14,"Regular",0.04192285,"Snack Foods",54.764,"High","Tier 3","Supermarket Type1",1331.6,26
"162",12.6,"Low Fat",0.077367431,"Fruits and Vegetables",97.0094,"Medium","Tier 3","Supermarket Type3",1808.9786,28
"163",5.905,"Low Fat",0.045838211,"Canned",222.5456,"Medium","Tier 3","Supermarket Type2",3315.684,4
"164",7.27,"Low Fat",0.071077939,"Soft Drinks",114.2518,"Small","Tier 1","Supermarket Type1",2618.5914,16
"165",6.155,"Regular",0.094659871,"Meat",214.556,"Small","Tier 1","Supermarket Type1",2769.728,16
"166",19.5,"Regular",0.077608838,"Soft Drinks",233.4958,"Other","Tier 2","Supermarket Type1",5375.0034,6
"167",15.2,"Low Fat",0.021327477,"Canned",216.8824,"Other","Tier 2","Supermarket Type1",2838.9712,6
"168",12.15,"Regular",0.042485444,"Canned",125.0046,"Medium","Tier 3","Supermarket Type2",1743.0644,4
"169",12.6,"Low Fat",0.025578526,"Household",198.8084,"Medium","Tier 3","Supermarket Type3",5555.4352,28
"170",12.6,"Low Fat",0.0489808,"Breads",61.9194,"Medium","Tier 3","Supermarket Type2",619.194,4
"171",14.5,"Low Fat",0.019471688,"Others",164.821,"Small","Tier 2","Supermarket Type1",2120.573,9
"172",16.6,"Low Fat",0.122918852,"Fruits and Vegetables",173.0738,"Other","Tier 2","Supermarket Type1",3823.0236,6
"173",11.8,"Regular",0.057373797,"Meat",151.4366,"High","Tier 3","Supermarket Type1",1360.2294,26
"174",13.1,"Regular",0.044155597,"Fruits and Vegetables",178.8318,"High","Tier 3","Supermarket Type1",3969.4996,26
"175",17.7,"Low Fat",0.291865402,"Fruits and Vegetables",115.1834,"Other","Tier 3","Grocery Store",345.5502,15
"176",17.85,"Low Fat",0.0540205365,"Breads",196.5794,"Other","Tier 3","Grocery Store",585.2382,15
"177",12.3,"Regular",0.064750025,"Starchy Foods",92.6804,"Other","Tier 2","Supermarket Type1",1010.6844,11
"178",11.8,"Low Fat",0.098312421,"Health and Hygiene",81.4618,"Other","Tier 3","Grocery Store",161.1236,15
"179",12.6,"Regular",0.191013663,"Soft Drinks",42.1112,"Small","Tier 1","Grocery Store",42.6112,28
"180",11.1,"Low Fat",0.176573035,"Baking Goods",157.4604,"Other","Tier 2","Supermarket Type1",3010.7476,11
"181",12.6,"Regular",0.060134441,"Frozen Foods",153.0656,"Medium","Tier 3","Supermarket Type3",6024.1584,28
"182",11.3,"Low Fat",0.007294652,"Meat",198.1426,"Other","Tier 2","Supermarket Type1",988.713,11
"183",12.6,"Low Fat",0.128478462,"Health and Hygiene",117.944,"Small","Tier 1","Grocery Store",239.688,28
"184",5.75,"Regular",0.075107656,"Dairy",112.8176,"High","Tier 3","Supermarket Type1",1374.2112,26
"185",12.6,"Regular",0.049381406,"Baking Goods",226.8062,"Medium","Tier 3","Supermarket Type3",4739.8302,28
"186",11.35,"Regular",0.045165796,"Snack Foods",100.0016,"Medium","Tier 3","Supermarket Type2",1012.016,4
"187",12.6,"Regular",0.09415375,"Fruits and Vegetables",165.7526,"Small","Tier 1","Grocery Store",657.8104,28
"188",14,"Low Fat",0.028907832,"Health and Hygiene",130.431,"Medium","Tier 1","Supermarket Type1",778.986,14
"189",19.75,"Regular",0.018059621,"Frozen Foods",179.766,"Other","Tier 2","Supermarket Type1",2336.958,11
"190",6.525,"Low Fat",0.090436094,"Household",85.0882,"Medium","Tier 1","Supermarket Type1",2233.0932,14
"191",10.3,"Low Fat",0.146399712,"Meat",103.9648,"Medium","Tier 1","Supermarket Type1",1661.8368,14
"192",5.78,"Regular",0.074264356,"Snack Foods",264.7568,"Medium","Tier 1","Supermarket Type1",4745.8224,14
"193",11.85,"Regular",0.050186726,"Fruits and Vegetables",164.1526,"Other","Tier 2","Supermarket Type1",3124.5994,11
"194",16.35,"Low Fat",0.020631654,"Fruits and Vegetables",50.1324,"Medium","Tier 3","Supermarket Type2",467.3916,4
"195",12.6,"Low Fat",0.01561108,"Household",182.5976,"Medium","Tier 3","Supermarket Type3",5070.7328,28
"196",10.5,"Low Fat",0.041395445,"Fruits and Vegetables",37.6164,"Small","Tier 1","Supermarket Type1",540.6296,16
"197",19,"Regular",0.097313129,"Frozen Foods",48.0718,"Small","Tier 1","Supermarket Type1",992.7078,16
"198",14.6,"Low Fat",0.059582996,"Others",238.8538,"Medium","Tier 1","Supermarket Type1",6008.845,14
"199",12.6,"Regular",0.098663652,"Dairy",62.9194,"Medium","Tier 3","Supermarket Type3",2105.2596,28
"200",12.6,"Regular",0.101338651,"Canned",232.63,"Medium","Tier 3","Supermarket Type3",5359.69,28
"201",18.75,"Low Fat",0.052146456,"Health and Hygiene",104.628,"Other","Tier 2","Supermarket Type1",745.696,11
"202",5.26,"Regular",0.041764487,"Baking Goods",161.8868,"Small","Tier 2","Supermarket Type1",3275.736,9
"203",18.25,"Low Fat",0.054344186,"Snack Foods",140.2154,"Other","Tier 2","Supermarket Type1",1701.7848,11
"204",12.6,"Low Fat",0.078362484,"Baking Goods",177.937,"Medium","Tier 3","Supermarket Type3",6704.606,28
"205",15.1,"Low Fat",0.052339069,"Meat",242.7512,"Small","Tier 1","Supermarket Type1",4119.9704,16
"206",15.5,"Regular",0.042464962,"Baking Goods",81.5934,"Other","Tier 3","Grocery Store",327.5736,15
"207",13.65,"Low Fat",0.065732883,"Frozen Foods",45.7402,"Medium","Tier 1","Supermarket Type1",780.9834,14
"208",16.1,"Low Fat",0.023625114,"Soft Drinks",189.3846,"Other","Tier 2","Supermarket Type1",3630.6074,11
"209",12.6,"Regular",0.051643608,"Snack Foods",107.3622,"Small","Tier 1","Grocery Store",317.5866,28
"210",12.85,"Low Fat",0.165694219,"Frozen Foods",39.7164,"Other","Tier 3","Grocery Store",231.6984,15
"211",9.5,"Low Fat",0.041878397,"Soft Drinks",32.99,"Small","Tier 2","Supermarket Type1",133.16,9
"212",13.8,"Low Fat",0.058091482,"Dairy",245.1802,"Small","Tier 2","Supermarket Type1",5650.6446,9
"213",5.78,"Regular",0.0540205365,"Snack Foods",263.7568,"Other","Tier 2","Supermarket Type1",2636.568,6
"214",19.7,"Low Fat",0.026903714,"Household",96.0726,"Other","Tier 2","Supermarket Type1",1272.3438,11
"215",14.65,"Low Fat",0.0540205365,"Household",161.5552,"Other","Tier 3","Grocery Store",324.9104,15
"216",6.67,"Regular",0.150554711,"Snack Foods",130.0626,"Other","Tier 3","Grocery Store",131.1626,15
"217",6.11,"Regular",0.0540205365,"Fruits and Vegetables",131.2968,"Other","Tier 3","Grocery Store",260.9936,15
"218",13.65,"Regular",0.134975628,"Frozen Foods",260.0936,"Other","Tier 3","Grocery Store",260.9936,15
"219",17.2,"Low Fat",0.15616879,"Meat",160.6578,"High","Tier 3","Supermarket Type1",3690.5294,26
"220",6.32,"Low Fat",0.0540205365,"Meat",40.2822,"Small","Tier 2","Supermarket Type1",1139.1838,9
"221",4.88,"Regular",0.133700752,"Baking Goods",52.9298,"Medium","Tier 1","Supermarket Type1",1995.4026,14
"222",5.425,"Regular",0.115119905,"Baking Goods",88.3514,"Other","Tier 2","Supermarket Type1",1416.8224,6
"223",15.85,"Regular",0.110030997,"Frozen Foods",37.2506,"Small","Tier 1","Supermarket Type1",265.6542,16
"224",7.5,"Low Fat",0.051038045,"Canned",121.7072,"Other","Tier 2","Supermarket Type1",3552.7088,6
"225",12.65,"Low Fat",0.062837968,"Soft Drinks",161.5578,"High","Tier 3","Supermarket Type1",2406.867,26
"226",12.6,"Low Fat",0.017116983,"Others",211.956,"Small","Tier 1","Grocery Store",213.056,28
"227",20.75,"Low Fat",0.024129332,"Fruits and Vegetables",124.173,"High","Tier 3","Supermarket Type1",2956.152,26
"228",12.6,"Low Fat",0.049754975,"Dairy",152.134,"Small","Tier 1","Grocery Store",153.134,28
"229",9,"Low Fat",0.0540205365,"Canned",79.7644,"Small","Tier 2","Supermarket Type1",1649.8524,9
"230",12.6,"Low Fat",0.101561568,"Canned",181.9292,"Medium","Tier 3","Supermarket Type3",3101.2964,28
"231",12.6,"Low Fat",0.005949644,"Household",165.6526,"Medium","Tier 3","Supermarket Type3",4769.1254,28
"232",12.6,"Regular",0.13956116,"Seafood",170.4764,"Medium","Tier 3","Supermarket Type3",3435.528,28
"233",14.1,"Low Fat",0.126035694,"Fruits and Vegetables",86.4198,"Other","Tier 2","Supermarket Type1",1133.8574,11
"234",7.55,"Low Fat",0.027164679,"Canned",152.334,"Small","Tier 2","Supermarket Type1",2603.278,9
"235",13,"Low Fat",0.099325278,"Household",45.406,"Small","Tier 1","Supermarket Type1",605.878,16
"236",12.6,"Low Fat",0.04357366,"Hard Drinks",192.8846,"Medium","Tier 3","Supermarket Type3",2293.0152,28
"237",12.6,"Regular",0.082741482,"Snack Foods",118.7782,"Small","Tier 1","Grocery Store",119.1782,28
"238",12.3,"Regular",0.064565202,"Starchy Foods",92.9804,"High","Tier 3","Supermarket Type1",1929.4884,26
